x_geo y_geo xcos yc
1.0 -1.1077640558816537e-18 6.23052411713454e-05 6.23003887424986e-06
0.9997509883244573 1.9517873825242673e-05 0.0005606540077782163 5.6026109163266895e-05
0.9990042002538931 7.800617451319835e-05 0.0015568547761034002 0.0001553825030111055
0.9977603764202054 0.00017526920445750096 0.0030499145115561177 0.00030382870383963666
0.9960207504223442 0.0003109816819391502 0.005038344899721436 0.000500661375056075
0.9937870476453576 0.0004846900571012769 0.007520163829944748 0.0007449472749908236
0.9910614836077951 0.0006958143434471868 0.010492897371142729 0.001035527125209106
0.9878467618382314 0.0009436504541283839 0.01395358223787152 0.0013710204166285215
0.9841460712819251 0.0012273730294132211 0.01789876874419416 0.001749831134099648
0.9799630832388998 0.0015460387389873626 0.02232452424240261 0.002170154376409058
0.9753019478350387 0.0018985900401641987 0.027226437043166463 0.002629983845058458
0.9701672900281152 0.0022838593706984026 0.032599620813200836 0.0031271201716745233
0.9645642051510455 0.002700573752722989 0.038438719446069636 0.0036591800505252564
0.9584982539950473 0.0031473597823857414 0.0447379124012689 0.004223606139373938
0.9519754574358258 0.003622748978061743 0.051490920506268245 0.00481767768880397
0.9450022906063633 0.004125183458576493 0.058691012215726535 0.005438521857209333
0.9375856766203994 0.004653021921696123 0.06633101032164268 0.006083125665878033
0.9297329798512016 0.00520454589223326 0.07440329910775273 0.0067483485460105574
0.9214519987707859 0.005777966208479402 0.08289983194104122 0.007430935427122511
0.9127509583553151 0.006371429715303857 0.09181213929280047 0.008127530314089972
0.9036385020629911 0.006983026132150369 0.10113133718124034 0.008834690298115818
0.894123683391355 0.007610795064303459 0.11084813602723503 0.009548899945134451
0.8842159570215132 0.008252733126175364 0.12095284991437721 0.010266586003636486
0.8739251695574044 0.008906801145965074 0.1314354062441105 0.010984132372591753
0.8632615498688146 0.009570931421842437 0.1422853557763144 0.011697895269082393
0.8522356990474271 0.010243035000793276 0.15349188304533412 0.012404218534433093
0.8408585799857452 0.010921008952400769 0.1650438171410724 0.013099449017045269
0.8291415065892572 0.011602743611109786 0.1769296428443951 0.013779951969808857
0.8170961326327092 0.012286129761897023 0.18913751210575241 0.014442126399881036
0.8047344402718115 0.012969065745724817 0.20165525585557198 0.015082420308785172
0.7920687282221283 0.01364946446266168 0.21447039613465257 0.015697345761195906
0.7791115996172697 0.014325260252082098 0.22757015853246476 0.01628349372143508
0.7658759495588521 0.014994415630884158 0.24094148492096124 0.016837548597606396
0.7523749523709684 0.015654927872161932 0.25457104647120316 0.01735630243443988
0.7386220485721608 0.016304835408216152 0.2684452569398261 0.017836668697296453
0.72463093157809 0.016942224043159173 0.28255028621210354 0.018275695591392648
0.7104155341482454 0.01756523296165072 0.29687207408810556 0.01867057886213885
0.695990014590179 0.018172060521470964 0.311396344298212 0.019018674024534877
0.6813687427348177 0.0187609698186853 0.32610861873400887 0.019317507971825493
0.6665662856964848 0.01933029401506904 0.3409942318803809 0.019564789916076717
0.6515973934312889 0.01987844141823401 0.35603834543441676 0.019758421615982038
0.6364769841075725 0.02040390030552872 0.3712259630965517 0.01989650685003487
0.621220129302116 0.020905243483270664 0.38654194551920495 0.019977360096198993
0.6058420390358108 0.02138113257321518 0.40197102539801094 0.019999784169937803
0.5903580466625238 0.021830322018380373 0.4174978226906004 0.019982990344504903
0.5747835936249015 0.022251662800439387 0.43310685994776044 0.01993910754579997
0.5591342140909011 0.02264410586087625 0.4487825777416934 0.01986779222827087
0.5434255194848909 0.023006705217994736 0.46450935017599204 0.019768807985548396
0.5276731829272507 0.023338620771691534 0.4802715004618736 0.019642027011866632
0.5118929235965108 0.023639120787676094 0.4960533165451434 0.019487431132259914
0.49610049102821363 0.023907584052564282 0.511839066768312 0.019305112396910722
0.4803116493648499 0.024143501691015236 0.5276130155522541 0.019095273236758897
0.4645421615714332 0.024346478635846734 0.5433594390817754 0.018858226179231042
0.44880777363150426 0.024516234741879726 0.559062640979454 0.018594393124702298
0.4331241987386232 0.024652605534153327 0.5747069679521305 0.01830430418605407
0.4175071014986913 0.02475554258114311 0.5902768253944511 0.017988596095433868
0.40197208215874775 0.024825113483731273 0.6057566929339094 0.01764801018405005
0.3865255551513955 0.024848901620378814 0.6211311399018916 0.017283389942538335
0.37119063649505174 0.024807406438923565 0.6363848407153015 0.016895678171111192
0.35598401802700136 0.024701584738683256 0.6515025901534364 0.016485913730339592
0.34092094512583426 0.02453289773889797 0.6664693185148806 0.01605522790501195
0.326016521875453 0.02430303440145728 0.6812701066393122 0.01560484039506166
0.31128569538650075 0.024013904112270223 0.6958902007792466 0.015136054949045394
0.29674324024741316 0.023667628480007624 0.710315027306892 0.014650254657084602
0.2824037431271715 0.02326653227224522 0.7245302072414599 0.014148896921545282
0.2682815875522884 0.022813133512794827 0.7385215705824446 0.013633508125021941
0.254390938880865 0.02231013276788764 0.7522751704345887 0.013105678016404524
0.24074572949673156 0.021760401652845717 0.7657772969104506 0.012567053836938001
0.2273596442466885 0.021166970594918264 0.77901449079672 0.012019334209227944
0.21424610614370293 0.020533015892037463 0.791973556970653 0.011464262813098574
0.20141826235858107 0.019861846111333 0.8046415775532582 0.010903621873067254
0.18888897052211887 0.01915688787529711 0.8170059247861193 0.010339225482959638
0.17667078535904654 0.018421671087477342 0.8290542736190187 0.009772912793847566
0.1647759456742187 0.017659813653451848 0.8407746139958168 0.009206541092046593
0.15321636171047553 0.016875005756571543 0.852155262826336 0.008641978794358168
0.14200360289642686 0.01607099375149535 0.8631848756323196 0.00808109838808181
